Priority,Women / Men,Product,Internet Name,Brand,ASIN,Safety Toe,Sole Features,Special Characteristics,Leather,Sole Material,Rubber Shield,Weight (lbs),Titulo Producto 1,Product 1,ASIN 1,Titulo Producto 2,Product 2,ASIN 2,Titulo Product 3,Product 3,ASIN 3,Titile Product 4,Product 4,ASIN 4
,Men,Max Grip - Soft Toe,Max Grip,CEBU,,Soft Toe,Heavy Duty,Soft Toe,Yes,HULE & PU,Yes,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Botin,,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots",Max,
,Men,SW - Steel Toe,SW,CEBU,,Steel Toe,Heavy Duty,Heavy Duty,Yes,Rubber-like & PU,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
,Men,Tk Guardax - Soft Toe,Tk Guardax,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
,Men,Tk Guardax - Steel Toe,Tk Guardax,CEBU,,Steel Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,6,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
,Men,Tk Lacer - Soft Toe,Tk Lacer,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's R Flex Soft Toe Elastic 10"" Pull On Work Boots",R Flex,
,Men,Tonka - Soft Toe,Tonka,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE & EVA,No,3.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Thunder 300,
,Men,WP - Composite Toe,WP,CEBU,,Composite Toe,3-Layer Sole,Heavy Duty,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's R Flex Soft Toe Elastic 10"" Pull On Work Boots",R Flex,
,Men,WP - Soft Toe,WP,CEBU,,Soft Toe,Lightweight,Heavy Duty,Yes,Polyurethane,No,3.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
,Men,FBP1 - Soft Toe,FBP1,Fortal,,Soft Toe,Non Slip,Steel Toe,Yes,HULE & PU,Yes,2,"FORTAL Men's FBS1 Non Slip 6"" Slip On Work Boots",FBS1,,"FORTAL Men's FCCP2 Non Slip 4"" Work Shoes",FCCP2,,"FORTAL Men's FCP2 Non Slip 4"" Slip On Work Shoes",FCP2,,#N/A,,#N/A
,Women,FBP3 - Soft Toe,FBP3,Fortal,,Soft Toe,Versatile,Steel Toe,Yes,HULE & PU,No,2,"FORTAL Women's FQP1 Non Slip 4"" Slip On Work Shoes",FQP1,,"FORTAL Women's FTP Non Slip 4"" Work Shoes",FTP,,#N/A,,#N/A,#N/A,,#N/A
,Men,FBS1 - Soft Toe,FBS1,Fortal,,Soft Toe,Non Slip,Steel Toe,Yes,HULE & PU,Yes,2,"FORTAL Men's FBP1 Non Slip 6"" Work Boots",FBP1,,"FORTAL Men's FCP2 Non Slip 4"" Slip On Work Shoes",FCP2,,"FORTAL Men's FCCP2 Non Slip 4"" Work Shoes",FCCP2,,#N/A,,#N/A
,Men,FCCP2 - Soft Toe,FCCP2,Fortal,,Soft Toe,Heavy Duty,Steel Toe,Yes,HULE & PU,Yes,2,"FORTAL Men's FBP1 Non Slip 6"" Work Boots",FBP1,,"FORTAL Men's FBS1 Non Slip 6"" Slip On Work Boots",FBS1,,"FORTAL Men's FCP2 Non Slip 4"" Slip On Work Shoes",FCP2,,#N/A,,#N/A
,Men,FCP2 - Soft Toe,FCP2,Fortal,,Soft Toe,Versatile,Steel Toe,Yes,HULE & PU,No,2,"FORTAL Men's FBP1 Non Slip 6"" Work Boots",FBP1,,"FORTAL Men's FBS1 Non Slip 6"" Slip On Work Boots",FBS1,,"FORTAL Men's FCCP2 Non Slip 4"" Work Shoes",FCCP2,,#N/A,,#N/A
,Women,FQP1 - Soft Toe,FQP1,Fortal,,Soft Toe,Heavy Duty,Steel Toe,Yes,HULE & PU,No,2,"FORTAL Women's FBP3 Non Slip 6"" Work Boots",FBP3,,"FORTAL Women's FTP Non Slip 4"" Work Shoes",FTP,,#N/A,,#N/A,#N/A,,#N/A
,Women,FTP - Soft Toe,FTP,Fortal,,Soft Toe,Heavy Duty,Steel Toe,Yes,HULE & PU,No,2,"FORTAL Women's FQP1 Non Slip 4"" Slip On Work Shoes",FQP1,,"FORTAL Women's FBP3 Non Slip 6"" Work Boots",FBP3,,#N/A,,#N/A,#N/A,,#N/A
,Women,BDT - Soft Toe,BDT,Labrador,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,4,"TORO BRAVO Women's TRC1WN Soft Toe Cowgirl 10"" Pull On Work Boots",TRC1WN,,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots",TLC1,,#N/A,,#N/A,#N/A,,#N/A
,Men,BRB - Soft Toe,BRB,Labrador,,Soft Toe,Heavy Duty,Wedge Sole,Yes,Polyurethane,Yes,4,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,,"LABRADOR Men's LA Rayas Soft Toe Wedge Sole 10"" Pull On Work Boots",LA Rayas,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,BRB2 - Soft Toe,BRB2,Labrador,,Soft Toe,Heavy Duty,Wedge Sole,Yes,Polyurethane,No,4,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's LA Rayas Soft Toe Wedge Sole 10"" Pull On Work Boots",LA Rayas,
,Men,BTA - Soft Toe,BTA,Labrador,,Soft Toe,Versatile,Heavy Duty,Yes,HULE,No,4,"LABRADOR Men's BTA Steel Toe Heavy Duty 6"" Work Boots",BTA,B088GMR78D,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,BTA - Steel Toe,BTA,Labrador,,Steel Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,4,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,B088GZ4JTD,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,LA Rayas - Soft Toe,LA Rayas,Labrador,,Soft Toe,Heavy Duty,Wedge Sole,Yes,Polyurethane,No,4,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,LA Track - Soft Toe,LA Track,Labrador,,Soft Toe,Versatile,Steel Toe,Yes,HULE,No,4,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,,"LABRADOR Men's LA Track Steel Toe Heavy Duty 10"" Pull On Work Boots",LA Track,B088GZ24FW,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,LA Track - Steel Toe,LA Track,Labrador,,Steel Toe,Non Slip,Steel Toe,Yes,HULE,No,4.5,"LABRADOR Men's BTA Soft Toe Heavy Duty 6"" Work Boots",BTA,,"LABRADOR Men's LA Track Soft Toe Heavy Duty 10"" Pull On Work Boots",LA Track,B088GN1F3P,"LABRADOR Men's BRB Soft Toe Wedge Sole 6"" Work Boots",BRB,,"LABRADOR Men's BRB2 Soft Toe Wedge Sole 6"" Work Boots",BRB2,
,Men,PR Rayas - Soft Toe,PR Rayas,Pradera,,Soft Toe,Non Slip,Soft Toe,Yes,HULE,No,4,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots Chocolate",PR Track,B08835NX3B,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,
,Men,PR Track - Composite Toe,PR Track,Pradera,,Composite Toe,Non Slip,Square Toe,Yes,Polyurethane,No,4.5,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots Chocolate",PR Track,B08835NX3B,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,
,Men,PR Track - Soft Toe,PR Track,Pradera,,Soft Toe,Versatile,Square Toe,Yes,Polyurethane,No,4,"PRADERA Men's PR Track Composite Toe Cowboy 10"" Pull On Work Boots",PR Track,B087P2JQHM,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's Dakota Lightweight Flexible 12"" Cowboy Boots",Dakota,
,Men,PR Track - Soft Toe,PR Track,Pradera,,Soft Toe,Versatile,Square Toe,Yes,Polyurethane,No,4,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots Chocolate",PR Track,B08835NX3B,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,
,Men,TLC1 - Steel Toe,TLC1,Toro Bravo,,Steel Toe,Leather Sole,Heavy Duty,Yes,3 Layers Sole,No,4.5,"TORO BRAVO Women's TRC1WN Soft Toe Cowgirl 10"" Pull On Work Boots",TRC3P,#REF!,"TORO BRAVO Men's TRC1 Soft Toe Cowboy 10"" Pull On Work Boots",TRC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",Tractor,#REF!,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,
,Women,TLC1WN - Soft Toe,TLC1WN,Toro Bravo,,Soft Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,4,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",TRC1WN,,"LABRADOR Women's BDT Soft Toe Heavy Duty 6"" Work Boots",BDT,,#N/A,,#N/A,#N/A,,#N/A
,Women,TLC1WN - Steel Toe,TLC1WN,Toro Bravo,,Steel Toe,Non Slip,Heavy Duty,Yes,3 Layers Sole,No,4.5,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",TRC1WN,,"LABRADOR Women's BDT Soft Toe Heavy Duty 6"" Work Boots",BDT,,#N/A,,#N/A,#N/A,,#N/A
,Women,TRC1WN - Soft Toe,TRC1WN,Toro Bravo,,Soft Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,4.5,"TORO BRAVO Women's TRC1WN Soft Toe Cowgirl 10"" Pull On Work Boots",TLC1WN,B08N5K525J,"LABRADOR Women's BDT Soft Toe Heavy Duty 6"" Work Boots",BDT,,#N/A,,#N/A,#N/A,,#N/A
,Women,TRC1WN - Steel Toe,TRC1WN,Toro Bravo,,Steel Toe,Lightweight,Heavy Duty,Yes,3 Layers Sole,No,5,"TORO BRAVO Women's TRC1WN Soft Toe Cowgirl 10"" Pull On Work Boots",TLC1WN,B08N5K525J,"LABRADOR Women's BDT Soft Toe Heavy Duty 6"" Work Boots",BDT,,#N/A,,#N/A,#N/A,,#N/A
